"fips","route","county","state","before_reviewed","after_reviewed","new_county_or_regional","statewide_supplements","added_publishers","added_urls","added_publisher_types","added_coverage","candidate_count","candidate_urls_unapproved","candidate_evidence_urls","remaining_gap"
"01001","alabama/autauga","Autauga County","Alabama","0","1","[]","[""Alabama Reflector""]","[""Alabama Reflector""]","[""https://alabamareflector.com/""]","[[""digital""]]","[""statewide""]","0","[]","[]","No verified county or regional publisher yet; statewide supplement only"
"01003","alabama/baldwin","Baldwin County","Alabama","0","1","[]","[""Alabama Reflector""]","[""Alabama Reflector""]","[""https://alabamareflector.com/""]","[[""digital""]]","[""statewide""]","0","[]","[]","No verified county or regional publisher yet; statewide supplement only"
"01005","alabama/barbour","Barbour County","Alabama","0","1","[]","[""Alabama Reflector""]","[""Alabama Reflector""]","[""https://alabamareflector.com/""]","[[""digital""]]","[""statewide""]","0","[]","[]","No verified county or regional publisher yet; statewide supplement only"
"01007","alabama/bibb","Bibb County","Alabama","0","1","[]","[""Alabama Reflector""]","[""Alabama Reflector""]","[""https://alabamareflector.com/""]","[[""digital""]]","[""statewide""]","0","[]","[]","No verified county or regional publisher yet; statewide supplement only"
"01009","alabama/blount","Blount County","Alabama","0","1","[]","[""Alabama Reflector""]","[""Alabama Reflector""]","[""https://alabamareflector.com/""]","[[""digital""]]","[""statewide""]","2","[""https://al.com/"",""https://thedailytimes.com/""]","[""https://www.al.com/news/2024/10/blount-county-da-says-sheriff-threatened-to-harrass-her-over-prosecution-of-drug-trafficker.html"",""https://www.thedailytimes.com/public_records/blount_records/blount-county-arrests-for-saturday-june-7-2025/article_5f6b18d8-3016-4eda-8f3e-93e6e0acc168.html""]","No verified county or regional publisher yet; statewide supplement only"
"01011","alabama/bullock","Bullock County","Alabama","0","1","[]","[""Alabama Reflector""]","[""Alabama Reflector""]","[""https://alabamareflector.com/""]","[[""digital""]]","[""statewide""]","1","[""https://beckershospitalreview.com/""]","[""https://www.beckershospitalreview.com/hospital-transactions-and-valuation/alabama-system-to-takeover-rural-emergency-hospital/""]","No verified county or regional publisher yet; statewide supplement only"
"01013","alabama/butler","Butler County","Alabama","0","1","[]","[""Alabama Reflector""]","[""Alabama Reflector""]","[""https://alabamareflector.com/""]","[[""digital""]]","[""statewide""]","1","[""https://wsfa.com/""]","[""https://www.wsfa.com/2026/05/27/butler-county-sheriffs-investigator-fired-arrested-alea-probe/""]","No verified county or regional publisher yet; statewide supplement only"
"01015","alabama/calhoun","Calhoun County","Alabama","0","1","[]","[""Alabama Reflector""]","[""Alabama Reflector""]","[""https://alabamareflector.com/""]","[[""digital""]]","[""statewide""]","0","[]","[]","No verified county or regional publisher yet; statewide supplement only"
"01017","alabama/chambers","Chambers County","Alabama","0","1","[]","[""Alabama Reflector""]","[""Alabama Reflector""]","[""https://alabamareflector.com/""]","[[""digital""]]","[""statewide""]","4","[""https://wtvm.com/"",""https://wrbl.com/"",""https://al.com/"",""https://aol.com/""]","[""https://www.wtvm.com/2026/07/28/chambers-county-opens-alabamas-first-transitional-home-single-mothers/"",""https://www.wrbl.com/news/chambers-county-mom-arrested-allegedly-used-exaggerated-false-or-induced-medical-issues-to-abuse-child/"",""https://www.al.com/educationlab/2023/06/federal-judge-orders-closure-of-chambers-county-lafayette-high-school.html"",""https://www.aol.com/articles/bond-denied-pregnant-alabama-mom-212743000.html""]","No verified county or regional publisher yet; statewide supplement only"
"01019","alabama/cherokee","Cherokee County","Alabama","0","1","[]","[""Alabama Reflector""]","[""Alabama Reflector""]","[""https://alabamareflector.com/""]","[[""digital""]]","[""statewide""]","4","[""https://cedarnews.net/"",""https://weisradio.com/"",""https://wsbtv.com/"",""https://11alive.com/""]","[""https://cedarnews.net/newstasks/973697/cherokee-county-alabama-man-dies-farm-equipment/"",""https://weisradio.com/2026/08/30/alabama-dog-tethering-law-october-2026/"",""https://www.wsbtv.com/news/local/cherokee-county/man-alabama-jail-being-charged-with-missing-cherokee-county-mans-murder/TQ44G5MG4ZF5XGBMLDA346WSBU/"",""https://www.11alive.com/article/news/local/cherokee-county-alabama-atv-accident-two-adults-killed-seven-children-injured-rome-georgia-family/85-0f80a9ee-d702-4d41-855c-30c33bc77ede""]","No verified county or regional publisher yet; statewide supplement only"
